Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IETC,8296,0,0.00,0,0.00,57.39,8239,57
NULG,8236,0,0.00,0,0.00,63.01,8236,0
IFRA,8201,0,0.00,0,0.00,38.00,8201,0
JPHY,8194,0,0.00,0,0.00,51.23,7694,500
IGHG,7846,0,0.00,0,0.00,74.46,5567,2279
PDEC,7799,0,0.00,0,0.00,31.46,7799,0
PSFF,7237,0,0.00,0,0.00,22.67,7237,0
PAWZ,7210,0,0.00,0,0.00,69.72,7210,0
BUFD,7121,0,0.00,0,0.00,21.23,7121,0
JPIB,6989,0,0.00,0,0.00,50.48,6789,200
ENOR,6824,0,0.00,0,0.00,29.94,6824,0
SMIN,6777,0,0.00,0,0.00,64.00,6677,100
EDEN,6707,0,0.00,0,0.00,106.15,6707,0
GSST,6600,0,0.00,0,0.00,50.47,6600,0
BDEC,6549,0,0.00,0,0.00,34.71,6549,0
TYA,6529,0,0.00,0,0.00,23.82,6529,0
MRGR,6511,0,0.00,0,0.00,41.13,4011,2500
FDEC,6350,0,0.00,0,0.00,34.57,6350,0
NUMG,6340,0,0.00,0,0.00,44.58,6340,0
DMAY,6321,0,0.00,0,0.00,34.59,6321,0
BBIN,6177,0,0.00,0,0.00,59.94,6177,0
SATO,6145,0,0.00,0,0.00,19.70,5045,1100
SMMD,6034,0,0.00,0,0.00,64.13,6034,0
VXZ,6004,0,0.00,0,0.00,25.48,6004,0
XBJA,6003,0,0.00,0,0.00,24.60,6003,0
SMDV,5735,0,0.00,0,0.00,66.93,5488,247
VFVA,5605,0,0.00,0,0.00,109.35,5605,0
IYJ,5573,0,0.00,0,0.00,111.80,5540,33
JCPB,5194,0,0.00,0,0.00,53.71,5160,34
FMAG,5013,0,0.00,0,0.00,23.30,5013,0
PTMC,4979,0,0.00,0,0.00,36.18,4979,0
PLRG,4970,0,0.00,0,0.00,28.12,4870,100
BJAN,4842,0,0.00,0,0.00,36.74,4842,0
DFNL,4822,0,0.00,0,0.00,33.17,4822,0
GTIP,4722,0,0.00,0,0.00,57.26,4722,0
QCON,4701,0,0.00,0,0.00,47.05,4701,0
POCT,4663,0,0.00,0,0.00,30.31,4663,0
NUMV,4560,0,0.00,0,0.00,37.24,4560,0
TMFM,4480,0,0.00,0,0.00,27.68,4480,0
NJAN,4478,0,0.00,0,0.00,41.38,4378,100
YMAR,4447,0,0.00,0,0.00,20.88,4447,0
PTLC,4349,0,0.00,0,0.00,40.66,4349,0
PSMM,4217,0,0.00,0,0.00,15.66,4217,0
DNOV,4179,0,0.00,0,0.00,35.08,3779,400
BMAY,4143,0,0.00,0,0.00,32.92,4143,0
HYMU,4140,0,0.00,0,0.00,25.80,4140,0
FLHY,4111,0,0.00,0,0.00,25.94,4111,0
JEMA,4089,0,0.00,0,0.00,46.81,4089,0
PBUS,4089,0,0.00,0,0.00,46.79,4089,0
EPRF,4054,0,0.00,0,0.00,23.80,4054,0
SEPZ,4028,0,0.00,0,0.00,31.91,4028,0
ESML,3796,0,0.00,0,0.00,39.44,3796,0
LQDI,3777,0,0.00,0,0.00,29.83,3777,0
IYLD,3753,0,0.00,0,0.00,23.77,3753,0
BUFG,3737,0,0.00,0,0.00,20.14,3337,400
JANZ,3708,0,0.00,0,0.00,28.66,3708,0
OUSA,3630,0,0.00,0,0.00,45.26,3630,0
BALT,3558,0,0.00,0,0.00,25.88,3558,0
HEGD,3558,0,0.00,0,0.00,19.23,3558,0
FDG,3555,0,0.00,0,0.00,74.32,3555,0
SECT,3523,0,0.00,0,0.00,44.10,3523,0
FRNW,3512,0,0.00,0,0.00,22.70,2312,1200
PSMD,3403,0,0.00,0,0.00,22.82,3403,0
VFQY,3401,0,0.00,0,0.00,122.24,2643,758
CTRU,3392,0,0.00,0,0.00,17.63,3254,138
AESR,3368,0,0.00,0,0.00,13.69,3368,0
FPRO,3353,0,0.00,0,0.00,25.90,3353,0
PNOV,3299,0,0.00,0,0.00,30.75,3299,0
FPFD,3288,0,0.00,0,0.00,24.92,3288,0
IBHC,3212,0,0.00,0,0.00,24.34,3060,152
OUSM,3190,0,0.00,0,0.00,36.78,3190,0
PTNQ,3119,0,0.00,0,0.00,57.38,3119,0
QVAL,3082,0,0.00,0,0.00,36.88,3082,0
DDLS,3053,0,0.00,0,0.00,35.18,2553,500
BAUG,3001,0,0.00,0,0.00,33.05,3001,0
FPAG,3000,0,0.00,0,0.00,25.71,3000,0
FMAR,2909,0,0.00,0,0.00,33.07,2909,0
STOT,2894,0,0.00,0,0.00,48.81,2894,0
NULC,2759,0,0.00,0,0.00,39.76,2759,0
FNOV,2741,0,0.00,0,0.00,38.46,2723,18
IZRL,2716,0,0.00,0,0.00,27.21,2716,0
MEAR,2715,0,0.00,0,0.00,50.01,2715,0
IEFN,2663,0,0.00,0,0.00,35.10,2663,0
ACIO,2661,0,0.00,0,0.00,31.98,2661,0
FMIL,2651,0,0.00,0,0.00,30.55,2651,0
FFTG,2594,0,0.00,0,0.00,30.34,2594,0
DUSA,2537,0,0.00,0,0.00,35.93,2537,0
FLBL,2522,0,0.00,0,0.00,25.06,2522,0
DDWM,2518,0,0.00,0,0.00,31.51,2518,0
SMMV,2518,0,0.00,0,0.00,38.01,2418,100
IGEB,2515,0,0.00,0,0.00,51.89,2147,368
PSEP,2477,0,0.00,0,0.00,30.20,2477,0
TOKE,2462,0,0.00,0,0.00,12.24,1739,723
DFND,2417,0,0.00,0,0.00,39.86,2417,0
MOTG,2411,0,0.00,0,0.00,37.93,2311,100
IBHB,2410,0,0.00,0,0.00,24.12,2410,0
BJUL,2403,0,0.00,0,0.00,33.09,2403,0
VCEB,2359,0,0.00,0,0.00,72.36,2174,185
SVAL,2343,0,0.00,0,0.00,32.71,2343,0
PBSM,2253,0,0.00,0,0.00,38.29,2253,0
PJUL,2211,0,0.00,0,0.00,30.64,2211,0
IEHS,2154,0,0.00,0,0.00,43.17,2154,0
FDRV,2107,0,0.00,0,0.00,26.62,1575,532
HYHG,2096,0,0.00,0,0.00,62.70,2094,2
FCLD,2027,0,0.00,0,0.00,22.87,1627,400
TDV,1998,0,0.00,0,0.00,64.74,1998,0
IBHD,1997,0,0.00,0,0.00,24.37,1997,0
FFSG,1965,0,0.00,0,0.00,36.88,1965,0
MRSK,1936,0,0.00,0,0.00,29.05,1936,0
XBAP,1892,0,0.00,0,0.00,27.35,1892,0
KAPR,1880,0,0.00,0,0.00,27.08,1880,0
TMFG,1825,0,0.00,0,0.00,30.51,1825,0
TRDF,1800,0,0.00,0,0.00,23.82,1800,0
EYLD,1779,0,0.00,0,0.00,36.08,1779,0
MSVX,1722,0,0.00,0,0.00,25.50,1722,0
BMAR,1704,0,0.00,0,0.00,34.56,1704,0
DAUG,1691,0,0.00,0,0.00,35.23,1691,0
FYLD,1669,0,0.00,0,0.00,28.67,1662,7
BUFT,1588,0,0.00,0,0.00,20.10,1588,0
PBTP,1561,0,0.00,0,0.00,26.33,1561,0
THY,1545,0,0.00,0,0.00,24.16,1545,0
XVV,1544,0,0.00,0,0.00,35.74,1544,0
GSUS,1534,0,0.00,0,0.00,63.96,1485,49
EFAD,1527,0,0.00,0,0.00,43.84,1527,0
AFIF,1501,0,0.00,0,0.00,9.51,1501,0
PSCJ,1500,0,0.00,0,0.00,21.09,1500,0
EWUS,1479,0,0.00,0,0.00,44.93,1479,0
TMFS,1472,0,0.00,0,0.00,33.72,1472,0
ATMP,1450,0,0.00,0,0.00,17.16,1450,0
IBHE,1441,0,0.00,0,0.00,24.80,1061,380
UNOV,1408,0,0.00,0,0.00,29.48,1381,27
NAPR,1392,0,0.00,0,0.00,38.50,1392,0
WFHY,1388,0,0.00,0,0.00,52.00,1388,0
CSM,1383,0,0.00,0,0.00,54.81,1182,201
PTEU,1363,0,0.00,0,0.00,24.78,1363,0
IBMM,1362,0,0.00,0,0.00,26.70,1362,0
UMAR,1360,0,0.00,0,0.00,29.84,1360,0
ALFA,1354,0,0.00,0,0.00,75.22,1354,0
DWLD,1353,0,0.00,0,0.00,30.80,1353,0
FMAY,1345,0,0.00,0,0.00,38.18,1345,0
IMFL,1301,0,0.00,0,0.00,25.39,401,900
FIBR,1298,0,0.00,0,0.00,98.13,1298,0
NUEM,1290,0,0.00,0,0.00,33.16,1290,0
MOHR,1229,0,0.00,0,0.00,24.83,1229,0
IEIH,1223,0,0.00,0,0.00,33.63,1223,0
EURZ,1214,0,0.00,0,0.00,27.21,1214,0
FOMO,1203,0,0.00,0,0.00,22.51,1202,1
ESG,1200,0,0.00,0,0.00,113.72,1200,0
XSHQ,1199,0,0.00,0,0.00,39.27,1199,0
PSMB,1174,0,0.00,0,0.00,16.93,1174,0
FLV,1167,0,0.00,0,0.00,62.44,1167,0
PMAY,1163,0,0.00,0,0.00,30.54,941,222
GHYG,1153,0,0.00,0,0.00,49.12,1153,0
FLDR,1139,0,0.00,0,0.00,50.62,1139,0
FFHG,1120,0,0.00,0,0.00,36.29,1120,0
ADME,1112,0,0.00,0,0.00,42.22,1112,0
FLQL,1094,0,0.00,0,0.00,45.98,1094,0
IAUF,1066,0,0.00,0,0.00,55.51,966,100
XDSQ,1046,0,0.00,0,0.00,28.32,1046,0
GAA,1033,0,0.00,0,0.00,31.09,1033,0
BBSA,1027,0,0.00,0,0.00,50.43,1027,0
DFEB,1017,0,0.00,0,0.00,35.20,1017,0
DDEC,998,0,0.00,0,0.00,32.66,998,0
VFMF,984,0,0.00,0,0.00,107.95,920,64
PSMC,975,0,0.00,0,0.00,13.70,975,0
UFEB,969,0,0.00,0,0.00,28.00,969,0
FJUL,945,0,0.00,0,0.00,36.27,945,0
EGIS,943,0,0.00,0,0.00,34.82,943,0
WDNA,938,0,0.00,0,0.00,21.20,138,800
IBML,928,0,0.00,0,0.00,25.85,928,0
TILT,924,0,0.00,0,0.00,179.53,924,0
WUGI,899,0,0.00,0,0.00,57.44,899,0
LVHI,895,0,0.00,0,0.00,27.07,895,0
OILK,895,0,0.00,0,0.00,43.44,895,0
IQM,882,0,0.00,0,0.00,49.90,202,680
NOCT,860,0,0.00,0,0.00,39.99,860,0
KOCT,856,0,0.00,0,0.00,26.85,856,0
GOVZ,822,0,0.00,0,0.00,21.36,822,0
ICOW,818,0,0.00,0,0.00,32.86,818,0
DRSK,814,0,0.00,0,0.00,28.66,814,0
DJAN,799,0,0.00,0,0.00,32.23,799,0
DURA,799,0,0.00,0,0.00,32.68,799,0
FDHT,787,0,0.00,0,0.00,23.40,786,1
VMOT,782,0,0.00,0,0.00,26.54,780,2
LEAD,776,0,0.00,0,0.00,58.26,776,0
BUYZ,772,0,0.00,0,0.00,35.55,772,0
FDEM,765,0,0.00,0,0.00,26.22,765,0
XJR,760,0,0.00,0,0.00,40.26,760,0
NJUL,737,0,0.00,0,0.00,47.55,737,0
USMF,734,0,0.00,0,0.00,41.64,734,0
AVDR,731,0,0.00,0,0.00,30.64,731,0
OMFS,715,0,0.00,0,0.00,41.05,715,0
MIG,700,0,0.00,0,0.00,24.35,700,0
IDME,692,0,0.00,0,0.00,24.45,592,100
KJUL,690,0,0.00,0,0.00,26.25,690,0
IVAL,683,0,0.00,0,0.00,27.68,683,0
UDEC,665,0,0.00,0,0.00,30.10,665,0
YSEP,657,0,0.00,0,0.00,19.99,657,0
XBJL,650,0,0.00,0,0.00,26.94,650,0
FLQM,630,0,0.00,0,0.00,46.60,630,0
VFMV,630,0,0.00,0,0.00,103.85,530,100
QMOM,628,0,0.00,0,0.00,49.88,628,0
VAMO,624,0,0.00,0,0.00,25.62,624,0
PSFD,610,0,0.00,0,0.00,24.27,610,0
PXUS,601,0,0.00,0,0.00,25.36,601,0
XTOC,600,0,0.00,0,0.00,25.63,600,0
ZECP,580,0,0.00,0,0.00,26.25,580,0
MAMB,569,0,0.00,0,0.00,24.81,569,0
IBMQ,563,0,0.00,0,0.00,27.00,563,0
OEUR,561,0,0.00,0,0.00,28.35,561,0
PSMG,550,0,0.00,0,0.00,18.85,550,0
QTAP,550,0,0.00,0,0.00,29.81,550,0
DBJA,536,0,0.00,0,0.00,27.87,536,0
EFNL,534,0,0.00,0,0.00,47.85,459,75
IDHD,527,0,0.00,0,0.00,27.21,527,0
USEP,524,0,0.00,0,0.00,28.57,524,0
BSEP,520,0,0.00,0,0.00,33.12,520,0
HYDB,501,0,0.00,0,0.00,50.99,501,0
DJUN,500,0,0.00,0,0.00,34.42,500,0
MARZ,500,0,0.00,0,0.00,28.18,500,0
MOTI,500,0,0.00,0,0.00,33.66,500,0
BAPR,492,0,0.00,0,0.00,33.36,492,0
TTAC,460,0,0.00,0,0.00,52.96,259,201
SHAG,454,0,0.00,0,0.00,50.15,454,0
TRTY,451,0,0.00,0,0.00,27.65,451,0
BLDG,442,0,0.00,0,0.00,31.62,436,6
EUDV,437,0,0.00,0,0.00,51.56,437,0
GMOM,430,0,0.00,0,0.00,30.70,430,0
LUXE,430,0,0.00,0,0.00,28.80,429,1
ROMO,425,0,0.00,0,0.00,29.47,425,0
FFEB,405,0,0.00,0,0.00,38.36,405,0
EAOM,400,0,0.00,0,0.00,28.84,400,0
PBEE,400,0,0.00,0,0.00,28.29,400,0
HELX,399,0,0.00,0,0.00,40.97,399,0
FFTI,396,0,0.00,0,0.00,23.63,396,0
LKOR,394,0,0.00,0,0.00,57.66,394,0
DAPR,392,0,0.00,0,0.00,31.47,340,52
FJAN,378,0,0.00,0,0.00,34.11,378,0
TSJA,369,0,0.00,0,0.00,29.03,369,0
QTJA,361,0,0.00,0,0.00,24.45,361,0
XJH,350,0,0.00,0,0.00,38.19,350,0
APRZ,336,0,0.00,0,0.00,28.10,336,0
ESGG,323,0,0.00,0,0.00,149.90,323,0
RTAI,315,0,0.00,0,0.00,26.94,315,0
DUDE,308,0,0.00,0,0.00,27.57,308,0
DINT,304,0,0.00,0,0.00,20.11,204,100
GVAL,302,0,0.00,0,0.00,23.92,302,0
PBDM,301,0,0.00,0,0.00,29.27,301,0
PFEB,301,0,0.00,0,0.00,29.26,301,0
GDMN,300,0,0.00,0,0.00,26.85,300,0
MPRO,300,0,0.00,0,0.00,27.52,300,0
QTJL,300,0,0.00,0,0.00,27.81,300,0
REC,300,0,0.00,0,0.00,24.36,300,0
BUFF,290,0,0.00,0,0.00,35.82,290,0
FSMO,289,0,0.00,0,0.00,23.94,289,0
IBMO,288,0,0.00,0,0.00,26.66,288,0
IGLD,283,0,0.00,0,0.00,20.32,283,0
NOVZ,271,0,0.00,0,0.00,33.18,271,0
FAPR,266,0,0.00,0,0.00,32.38,266,0
PAUG,263,0,0.00,0,0.00,30.22,263,0
TTAI,263,0,0.00,0,0.00,35.52,263,0
IECS,257,0,0.00,0,0.00,34.66,257,0
DALT,251,0,0.00,0,0.00,10.16,251,0
DJUL,240,0,0.00,0,0.00,33.58,240,0
BFEB,216,0,0.00,0,0.00,32.14,216,0
AMER,207,0,0.00,0,0.00,29.84,207,0
PAPR,205,0,0.00,0,0.00,29.32,205,0
IVLC,202,0,0.00,0,0.00,14.78,202,0
DFRA,201,0,0.00,0,0.00,26.72,201,0
KWT,201,0,0.00,0,0.00,35.15,201,0
MAAX,200,0,0.00,0,0.00,24.58,200,0
NUDV,200,0,0.00,0,0.00,26.82,200,0
PSCX,200,0,0.00,0,0.00,22.50,200,0
XTJA,200,0,0.00,0,0.00,24.48,200,0
MDEV,199,0,0.00,0,0.00,23.85,199,0
XSHD,191,0,0.00,0,0.00,23.17,191,0
IBHG,186,0,0.00,0,0.00,24.66,186,0
TSOC,184,0,0.00,0,0.00,31.86,184,0
RSXJ,172,0,0.00,0,0.00,32.75,171,1
TMAT,172,0,0.00,0,0.00,18.82,172,0
STLV,170,0,0.00,0,0.00,30.53,170,0
QTOC,160,0,0.00,0,0.00,25.50,160,0
DFNV,159,0,0.00,0,0.00,27.28,159,0
FAUG,142,0,0.00,0,0.00,38.41,142,0
BNOV,140,0,0.00,0,0.00,32.58,140,0
IMOM,133,0,0.00,0,0.00,32.38,66,67
IBMN,131,0,0.00,0,0.00,27.73,131,0
YPS,124,0,0.00,0,0.00,24.46,124,0
BJUN,116,0,0.00,0,0.00,34.40,116,0
TCTL,111,0,0.00,0,0.00,34.00,11,100
WTAI,104,0,0.00,0,0.00,24.16,104,0
VFMO,103,0,0.00,0,0.00,128.19,103,0
BOSS,102,0,0.00,0,0.00,31.85,102,0
MBCC,102,0,0.00,0,0.00,28.81,102,0
FLQS,101,0,0.00,0,0.00,38.72,101,0
UJUN,101,0,0.00,0,0.00,29.30,101,0
ALTS,100,0,0.00,0,0.00,38.68,100,0
EAOA,100,0,0.00,0,0.00,34.20,100,0
GLDB,100,0,0.00,0,0.00,23.64,100,0
IBHF,100,0,0.00,0,0.00,25.30,100,0
IMLP,100,0,0.00,0,0.00,13.69,100,0
IVSG,100,0,0.00,0,0.00,13.22,100,0
KNGS,100,0,0.00,0,0.00,26.48,100,0
MOTE,100,0,0.00,0,0.00,26.52,100,0
PMAR,100,0,0.00,0,0.00,31.50,100,0
PWS,100,0,0.00,0,0.00,31.84,100,0
WFIG,100,0,0.00,0,0.00,52.91,100,0
EMTL,98,0,0.00,0,0.00,47.84,98,0
IEDI,95,0,0.00,0,0.00,46.18,95,0
FUNL,93,0,0.00,0,0.00,36.41,93,0
RDFI,90,0,0.00,0,0.00,28.57,90,0
XDEC,79,0,0.00,0,0.00,30.63,79,0
HSRT,77,0,0.00,0,0.00,40.37,77,0
BLKC,73,0,0.00,0,0.00,22.50,73,0
UAPR,70,0,0.00,0,0.00,26.27,70,0
XJUN,70,0,0.00,0,0.00,30.54,70,0
IEME,67,0,0.00,0,0.00,33.48,67,0
PEX,65,0,0.00,0,0.00,35.60,62,3
UOCT,59,0,0.00,0,0.00,28.44,59,0
FOCT,58,0,0.00,0,0.00,35.37,58,0
OSCV,57,0,0.00,0,0.00,34.95,57,0
MFUL,51,0,0.00,0,0.00,24.37,51,0
QMAR,50,0,0.00,0,0.00,22.54,50,0
QJUN,41,0,0.00,0,0.00,21.25,41,0
BOCT,35,0,0.00,0,0.00,34.50,35,0
RESE,31,0,0.00,0,0.00,36.06,31,0
IVDG,29,0,0.00,0,0.00,12.63,29,0
IVRA,25,0,0.00,0,0.00,15.11,25,0
EOPS,23,0,0.00,0,0.00,22.56,23,0
EWGS,23,0,0.00,0,0.00,79.95,23,0
DSJA,22,0,0.00,0,0.00,29.73,22,0
ISVL,22,0,0.00,0,0.00,36.44,22,0
STLG,21,0,0.00,0,0.00,38.67,21,0
XDAT,17,0,0.00,0,0.00,24.03,17,0
XTAP,17,0,0.00,0,0.00,28.75,17,0
XDAP,13,0,0.00,0,0.00,29.11,13,0
APXH,12,0,0.00,0,0.00,9.76,12,0
CBTG,10,0,0.00,0,0.00,16.13,10,0
FLIA,10,0,0.00,0,0.00,24.34,10,0
GPAL,10,0,0.00,0,0.00,39.92,10,0
MAGA,10,0,0.00,0,0.00,40.08,10,0
QLC,9,0,0.00,0,0.00,51.40,9,0
